,Excitatory neuron,Endothelial,Astrocytes,Interneuron,Oligodendrocytes,Microglia
1,0.0,0.0,0.0,0.0,1.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0,0.0
4,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
5,0.6,0.4,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0
8,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0
11,1.0,0.0,0.0,0.0,0.0,0.0
12,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
13,0.42857142857142855,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142
14,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.0,0.09090909090909091
15,0.3333333333333333,0.16666666666666666,0.2777777777777778,0.2222222222222222,0.0,0.0
16,0.6428571428571429,0.0,0.21428571428571427,0.14285714285714285,0.0,0.0
17,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.0
18,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.0,0.09090909090909091,0.0
19,0.3,0.2,0.2,0.1,0.1,0.1
20,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
21,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
22,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0
23,0.625,0.125,0.0,0.25,0.0,0.0
24,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.0
25,0.631578947368421,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684
26,0.5238095238095238,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.0,0.0
27,0.4,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0
28,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
29,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0
30,1.0,0.0,0.0,0.0,0.0,0.0
31,0.6,0.0,0.2,0.0,0.2,0.0
32,0.375,0.0,0.25,0.125,0.125,0.125
33,0.3333333333333333,0.25,0.08333333333333333,0.25,0.0,0.08333333333333333
34,0.5454545454545454,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0
35,0.6666666666666666,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555
36,0.375,0.3125,0.0625,0.25,0.0,0.0
37,0.6153846153846154,0.0,0.3076923076923077,0.0,0.0,0.07692307692307693
38,0.2857142857142857,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0
39,0.2,0.3,0.1,0.0,0.4,0.0
40,0.0,0.0,0.0,0.0,1.0,0.0
41,0.6,0.0,0.2,0.0,0.2,0.0
42,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0
43,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
44,0.5882352941176471,0.35294117647058826,0.0,0.0,0.058823529411764705,0.0
45,0.46153846153846156,0.3076923076923077,0.0,0.15384615384615385,0.07692307692307693,0.0
46,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693
47,0.3125,0.0625,0.5,0.125,0.0,0.0
48,0.4,0.1,0.1,0.1,0.2,0.1
49,0.25,0.375,0.125,0.0,0.125,0.125
50,0.75,0.0,0.0,0.0,0.0,0.25
51,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
52,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0
53,0.5,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285
54,0.4375,0.25,0.0625,0.25,0.0,0.0
55,0.5,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0
56,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091
57,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.0,0.0
58,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091
59,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285
60,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0
61,0.4,0.0,0.2,0.4,0.0,0.0
62,0.4666666666666667,0.13333333333333333,0.4,0.0,0.0,0.0
63,0.4230769230769231,0.19230769230769232,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.038461538461538464
64,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0
65,0.4,0.4,0.1,0.1,0.0,0.0
66,0.47058823529411764,0.35294117647058826,0.058823529411764705,0.11764705882352941,0.0,0.0
67,0.25,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0
68,0.21428571428571427,0.5,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142
69,0.2,0.8,0.0,0.0,0.0,0.0
70,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
71,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
72,0.4375,0.125,0.3125,0.125,0.0,0.0
